writer
Jeff Kinney
Tony Gayton
Joe Gayton
Josh Heald
Sean Anders
John Morris
Larry Stuckey
Greg Glienna
Mary Ruth Clarke
Robert Rodriguez
Álvaro Rodríguez
Pete Goldfinger
Josh Stolberg
Matt Lopez
Doug Miro
Carlo Bernard
Lewis John Carlino
Cory Goodman
Min-Woo Hyung
Jay Scherick
David Ronn
Peyo
Michael Diliberti
Matthew Sullivan
Leslie Bohem
M.T. Ahern
Tom Holland
George Miller
Gary Eck
Warren Coleman
Paul Livingston
John Collee
Judy Morris
Brian Gatewood
Alessandro Tanaka
Eric Heisserer
Scott M. Gimple
Seth Hoffman
Jody Lambert
Gideon Defoe
Mike Cerrone
Shane Carruth
Christopher Kyle
Ron Rash
Alice Lowe
Steve Oram
Amy Jump
Joel Soisson
David Cronenberg
Don DeLillo
Paul Laverty
Camilla Bubna-Kasteliz
Andrew Cook
Raffaella Delle Donne
Tom Kenny
Brent Palmer
Nik Rabinowitz
Anthony Silverston
Wayne Thornley
Lindsay van Blerk
Michael Wallach
Barry Levinson
Morgan O'Neill
Paul Leyden
Steven Pearl
Ronald Harwood
Josh Radnor
Nick Love
Ian Kennedy Martin
Stacy Perskie
Adrian Grunberg
Tim Doiron
Declan O'Brien
Tom Bradby
Evan Oppenheimer
Lynne Ramsay
Rory Stewart Kinnear
Lionel Shriver
Andrea Portes
Paolo Sorrentino
Umberto Contarello
Mike Cahill
Brit Marling
Lars von Trier
Eli Craig
Morgan Jurgenson
Nancy Oliver
Brett Halliday
David Lynch
Larry Clark
Jim Lewis
John Landis
Noah Oppenheim
Grant Pierce Myers
T.S. Nowlin
James Dashner
Joshua Zetumer
Michael Miner
Tommy Chong
Cheech Marin
Norman Steinberg
Andrew Bergman
Richard Pryor
Alan Uger
Michael Cimino
Deric Washburn
Louis Garfinkle
Quinn K. Redeker
Neal Israel
Hugh Wilson
David Z. Weinstein
W.D. Richter
Dennis Lee
Coline Serreau
James Orr
Jim Cruickshank
Walter Wager
Doug Richardson
Bobby Herbeck
Todd W. Langen
Rick King
W. Peter Iliff
Dale Launer
Giovanni Arpino
Ruggero Maccari
Dino Risi
Anne Fine
Randi Mayem Singer
Jack Bernstein
Tom Shadyac
Jim Carrey
David Veloz
Richard Rutowski
Peter Rader
Mike Myers
Andrew Neiderman
Jonathan Lemkin
Alex Proyas
Stephen Peters
Ross LaManna
Jim Kouf
James Jones
Tim McCanlies
Ted Hughes
Washington Irving
Kevin Yagher
Philip Stark
Mark Dindal
Stephen J. Anderson
Don Hall
John Norton
Roger Allers
Matthew Jacobs
Doug Frankel
Mark Kennedy
Mark Walton
Bruce Geller
Ronald D. Moore
Brannon Braga
Robert Towne
Simon Moore
Stephen Gaghan
Brian Aldiss
Ian Watson
Tab Murphy
Bryce Zabel
Jackie Zabel
Plato
Michael McCullers
William Hanna
Joseph Barbera
Kevin O'Neill
James Robinson
Larry Cohen
Robert Hamner
Ron Mita
Jim McClain
Tedi Sarafian
Peter Briggs
Cormac Wibberley
Marianne Wibberley
Oren Aviv
Charles Segars
Benedict Fitzgerald
Sacha Gervasi
Douglas Adams
Karey Kirkpatrick
Albert S. Ruddy
Tracy Keenan Wynn
Thomas Lennon
Robert Ben Garant
Mark Perez
Alexandre Aja
Grégory Levasseur
Len Blum
Lorne Cameron
David Hoselton
Michael Fry
T. Lewis
Chris Poche
Mike de Seve
Eric Forsberg
Jason Reitman
Christopher Buckley
